timeMsg,FromUserId,FromNickName,MsgType,Content,MsgRandom
2021-02-02 17:50:03,2023717150,M,TextMsg,额,1838960975
﻿2021-02-02 17:50:11,2023717150,M,TextMsg,看不清耶,749292369
﻿2021-02-02 17:50:15,2023717150,M,PicMsg,"{""GroupPic"":[{""FileId"":2184711852,""FileMd5"":""5K0Q5iEbH9k8HghENw2D0Q=="",""FileSize"":3016,""ForwordBuf"":""EiRFNEFEMTBFNjIxMUIxRkQ5M0MxRTA4NDQzNzBEODNEMS5qcGcyVhU2IDg2ZUExQjgyMzgwZWFjM2FmYTg4MzggICAgICA1MGFrZXhtOTJDZ2FTOTZtMlRFNEFEMTBFNjIxMUIxRkQ5M0MxRTA4NDQzNzBEODNEMS5qcGdBOKyd4JEIQLiQ6tcDSFBQQloQYWtleG05MkNnYVM5Nm0yVGABahDkrRDmIRsf2TweCEQ3DYPRclwvZ2NoYXRwaWNfbmV3LzIwMjM3MTcxNTAvMTAyODg3MTgyNS0yMTg0NzExODUyLUU0QUQxMEU2MjExQjFGRDkzQzFFMDg0NDM3MEQ4M0QxLzE5OD90ZXJtPTI1NYIBWi9nY2hhdHBpY19uZXcvMjAyMzcxNzE1MC8xMDI4ODcxODI1LTIxODQ3MTE4NTItRTRBRDEwRTYyMTFCMUZEOTNDMUUwODQ0MzcwRDgzRDEvMD90ZXJtPTI1NaAB6AewAcgBuAHIAcABZ8gByBfQAQDYAcYB4AHGAegBAPABAPoBXC9nY2hhdHBpY19uZXcvMjAyMzcxNzE1MC8xMDI4ODcxODI1LTIxODQ3MTE4NTItRTRBRDEwRTYyMTFCMUZEOTNDMUUwODQ0MzcwRDgzRDEvNDAwP3Rlcm09MjU1gALIAYgCyAGSAhoIARAAMgBKDlvliqjnlLvooajmg4VdUAB4Bg=="",""ForwordField"":8,""Url"":""http://gchat.qpic.cn/gchatpic_new/2023717150/1028871825-2534335053-E4AD10E6211B1FD93C1E0844370D83D1/0?vuin=2593923636\u0026term=255\u0026pictype=0""}],""Tips"":""[群图片]""}",1860754696
﻿2021-02-02 17:57:43,2935953457,冯心悠,TextMsg,加载原图,1850775970
